,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Abu Zabad,0,SD,1553130715,23,12.35,29.25,67.71,10.22
1,Pauini,12,BR,1553130715,89,-7.71,-67.0,79.41,3.96
2,Guerrero Negro,12,MX,1553130716,73,27.97,-114.04,64.92,12.57
3,Haslett,90,US,1553130638,93,42.75,-84.4,39.2,4.7
4,Paamiut,76,GL,1553130716,100,61.99,-49.67,24.69,8.43
5,Khorixas,0,NA,1553130716,48,-20.37,14.96,68.52,4.29
6,Ponta do Sol,36,BR,1553130717,78,-20.63,-46.0,73.74,5.86
7,Vaini,0,IN,1553126400,72,15.34,74.49,64.4,0.94
8,Ushuaia,75,AR,1553126400,93,-54.81,-68.31,46.4,16.11
9,Bredasdorp,0,ZA,1553126400,81,-34.53,20.04,53.6,6.93
10,Kununurra,0,AU,1553128200,55,-15.77,128.74,91.4,10.29
11,Mataura,36,NZ,1553130718,69,-46.19,168.86,69.6,2.62
12,Ribeira Grande,0,PT,1553130719,100,38.52,-28.7,59.79,9.66
13,Grindavik,75,IS,1553130097,68,63.84,-22.43,32.0,28.86
14,Doha,0,QA,1553128200,59,25.29,51.53,66.2,3.36
15,Tezu,92,IN,1553130721,99,27.93,96.16,49.89,1.61
16,Benjamin Constant,20,BR,1553126400,100,-4.38,-70.03,78.8,2.17
17,Cravo Norte,92,CO,1553130722,35,6.3,-70.2,93.18,4.97
18,Castro,92,CL,1553126400,81,-42.48,-73.76,50.0,2.62
19,Clyde River,40,CA,1553126400,68,70.47,-68.59,-20.21,5.82
20,Busselton,64,AU,1553130715,45,-33.64,115.35,75.99,17.16
21,Mar del Plata,0,AR,1553130725,84,-46.43,-67.52,54.03,9.1
22,Maceio,20,BR,1553130000,78,-9.67,-35.74,80.6,11.41
23,Katsuura,75,JP,1553129471,87,33.93,134.5,64.0,23.04
24,Flinders,75,AU,1553130725,73,-34.58,150.85,80.01,11.41
25,Lata,76,IN,1553130729,100,30.78,78.62,36.66,1.72
26,Broken Hill,48,AU,1553126400,16,-31.97,141.45,86.0,18.34
27,Mahebourg,40,MU,1553130542,83,-20.41,57.7,80.6,6.93
28,Port Alfred,56,ZA,1553130715,87,-33.59,26.89,64.99,3.0
29,New Norfolk,75,AU,1553130675,93,-42.78,147.06,63.0,10.29
30,Sanming,0,CN,1553130731,80,26.24,117.6,70.68,3.4
31,Tessalit,8,ML,1553130731,21,20.2,1.01,57.72,3.51
32,Bethel,90,US,1553129580,85,60.79,-161.76,21.2,25.28
33,Atuona,32,PF,1553130733,99,-9.8,-139.03,82.74,15.7
34,Kapaa,90,US,1553130494,61,22.08,-159.32,78.8,12.75
35,Naze,44,NG,1553130733,93,5.43,7.07,75.36,3.74
36,Mana,75,RS,1553128200,70,43.52,20.24,44.6,3.36
37,Gladstone,40,AU,1553130581,62,-23.84,151.26,91.0,6.93
38,Punta Arenas,75,CL,1553130190,76,-53.16,-70.91,50.0,9.17
39,Lorengau,48,PG,1553130736,100,-2.02,147.27,82.65,8.99
40,Butaritari,80,KI,1553130736,100,3.07,172.79,81.75,6.98
41,Husavik,0,CA,1553130649,84,50.56,-96.99,35.01,6.87
42,Kodiak,1,US,1553130730,32,39.95,-94.76,53.01,10.29
43,Albany,1,US,1553130701,41,42.65,-73.75,48.2,6.42
44,East London,88,ZA,1553130719,100,-33.02,27.91,69.69,11.9
45,Ambilobe,20,MG,1553130739,93,-13.19,49.05,71.49,2.62
46,Sungaipenuh,56,ID,1553130740,92,-2.08,101.38,65.91,1.16
47,Ibra,0,OM,1553130740,96,22.69,58.55,55.11,0.94
48,Pisco,0,PE,1553126400,73,-13.71,-76.2,71.6,19.46
49,Buala,92,SB,1553130742,83,-8.15,159.59,85.44,3.4
50,Tilichiki,32,RU,1553130743,81,60.47,166.1,18.84,7.65
51,Tuatapere,68,NZ,1553130743,80,-46.13,167.69,64.65,2.84
52,Puerto Ayora,20,EC,1553130073,78,-0.74,-90.35,80.6,5.82
53,Tuktoyaktuk,75,CA,1553126400,77,69.44,-133.03,6.8,8.05
54,Nuuk,44,GL,1553125800,71,64.17,-51.74,5.0,8.05
55,Cape Town,0,ZA,1553130664,67,-33.93,18.42,60.8,13.87
56,Westport,92,IE,1553130494,88,53.8,-9.52,52.0,5.99
57,Faya,0,SA,1553126400,71,18.39,42.45,62.6,11.41
58,Saint-Philippe,1,CA,1553130713,59,45.36,-73.48,41.0,3.36
59,Jamestown,0,AU,1553130492,89,-33.21,138.6,71.04,4.63
60,Hobart,75,AU,1553130440,93,-42.88,147.33,63.0,10.29
61,Arman,24,RU,1553130747,58,59.7,150.17,7.32,4.41
62,Rikitea,0,PF,1553130748,100,-23.12,-134.97,78.6,23.31
63,Ahuimanu,40,US,1553130519,51,21.44,-157.84,80.6,11.41
64,Tura,0,IN,1553130750,74,25.52,90.21,57.54,6.2
65,Banjarmasin,20,ID,1553126400,94,-3.32,114.59,80.6,3.36
66,Springfield,20,US,1553130726,65,37.22,-93.29,50.0,5.82
67,Thinadhoo,76,MV,1553130751,100,0.53,72.93,84.72,6.42
68,Cherskiy,48,RU,1553130751,64,68.75,161.3,-8.16,3.18
69,Mandera,0,ET,1553130752,32,3.94,41.86,77.52,7.31
70,Severo-Kurilsk,32,RU,1553130752,100,50.68,156.12,24.24,18.28
71,Naqadeh,44,IR,1553130752,100,36.96,45.39,34.14,2.17
72,Upernavik,0,GL,1553130534,100,72.79,-56.15,-14.91,10.22
73,Bluff,0,AU,1553130753,73,-23.58,149.07,82.92,4.41
74,Esperance,20,TT,1553130609,83,10.24,-61.45,79.0,8.05
75,Isangel,75,VU,1553126400,62,-19.55,169.27,87.8,11.41
76,Massena,90,US,1553130321,64,44.93,-74.89,39.0,5.3
77,Valparaiso,90,US,1553130557,87,41.47,-87.06,45.0,4.7
78,Nome,90,US,1553130526,45,30.04,-94.42,68.0,5.82
79,Fort Nelson,20,CA,1553126400,20,58.81,-122.69,62.6,2.39
80,Port Blair,12,IN,1553130757,97,11.67,92.75,84.99,8.21
81,Aklavik,75,CA,1553126400,53,68.22,-135.01,23.0,10.29
82,Mitsamiouli,8,KM,1553130758,100,-11.38,43.28,81.75,4.18
83,Saskylakh,64,RU,1553130758,77,71.97,114.09,9.12,11.45
84,Dikson,44,RU,1553130759,91,73.51,80.55,18.75,14.81
85,Kysyl-Syr,0,RU,1553130760,57,63.9,122.77,-11.85,2.51
86,Mandalgovi,36,MN,1553130760,60,45.76,106.27,6.87,3.18
